pId	weight.kDa.	length	trypticCount	pI
IPI00127862	IPI00127862	10.42005312	90	5	6.07470703125
IPI00127865	IPI00127865	48.31033265	430	20	9.53955078125
IPI00127866	IPI00127866	58.96320606	523	31	7.50341796875
IPI00127867	IPI00127867	43.0847454	386	24	10.09619140625
IPI00127868	IPI00127868	34.53630156	311	11	8.57275390625
IPI00127869	IPI00127869	35.79649739	321	11	8.11865234375
IPI00127870	IPI00127870	44.04694958	395	18	8.95361328125
IPI00127871	IPI00127871	45.42564865	403	21	9.75927734375
IPI00127872	IPI00127872	35.34922552	312	13	9.33447265625
IPI00127873	IPI00127873	57.13525158	511	29	8.00146484375
IPI00127874	IPI00127874	34.48404984	317	13	8.26513671875
IPI00127877	IPI00127877	35.37189008	312	13	9.18798828125
IPI00127880	IPI00127880	34.91737848	312	11	9.17333984375
IPI00127882	IPI00127882	35.49811389	318	12	10.11083984375
IPI00127885	IPI00127885	35.48599725	317	13	8.48486328125
IPI00127888	IPI00127888	36.24291619	329	14	8.13330078125
IPI00127900	IPI00127900	39.11439138	347	20	6.72705078125
IPI00127901	IPI00127901	32.77321943	317	13	9.37841796875
IPI00127902	IPI00127902	136.3834738	1223	78	8.30908203125
IPI00127903	IPI00127903	34.87369254	326	14	3.67529296875
IPI00127905	IPI00127905	36.35134328	320	17	8.26513671875
IPI00127906	IPI00127906	35.47270845	314	11	8.42626953125
IPI00127907	IPI00127907	36.02681179	318	12	8.51416015625
IPI00127909	IPI00127909	35.51907844	314	14	8.93896484375
IPI00127910	IPI00127910	35.35997061	317	12	10.15478515625
IPI00127912	IPI00127912	34.84380379	315	11	10.12548828125
IPI00127914	IPI00127914	35.5287284	319	12	9.53955078125
IPI00127917	IPI00127917	35.26270864	317	15	8.99755859375
IPI00127918	IPI00127918	34.61831446	316	11	7.50341796875
IPI00127921	IPI00127921	35.27699327	322	10	8.27978515625
IPI00127929	IPI00127929	29.6725409	271	15	10.50634765625
IPI00127930	IPI00127930	43.51887682	395	20	6.02392578125
IPI00127931	IPI00127931	27.71883842	249	15	7.98681640625
IPI00127933	IPI00127933	10.05522389	92	6	5.08447265625
IPI00127934	IPI00127934	65.17202483	582	26	9.87646484375
IPI00127935	IPI00127935	25.95133212	227	11	7.64990234375
IPI00127941	IPI00127941	20.01608951	181	8	4.42431640625
IPI00127942	IPI00127942	18.49147575	165	13	7.79638671875
IPI00127945	IPI00127945	35.61388431	318	14	8.47021484375
IPI00127947	IPI00127947	65.5577507	557	25	6.21435546875
IPI00127948	IPI00127948	35.5519607	318	16	9.64208984375
IPI00127952	IPI00127952	35.24185103	316	13	8.42626953125
IPI00127953	IPI00127953	35.05454026	314	11	8.57275390625
IPI00127955	IPI00127955	35.42192158	317	14	8.71923828125
IPI00127958	IPI00127958	35.9981107	319	16	9.20263671875
IPI00127961	IPI00127961	35.89131482	317	14	8.48486328125
IPI00127971	IPI00127971	70.80013371	640	38	6.65380859375
IPI00127974	IPI00127974	40.8360263	365	19	7.60595703125
IPI00127976	IPI00127976	61.16076325	541	27	7.91357421875
IPI00127981	IPI00127981	91.57034957	827	40	4.47509765625
IPI00127982	IPI00127982	75.95575559	673	39	9.07080078125
IPI00127983	IPI00127983	22.67230786	201	11	4.80517578125
IPI00127987	IPI00127987	41.58167701	370	23	7.97216796875
IPI00127989	IPI00127989	18.69140878	160	10	4.13232421875
IPI00127991	IPI00127991	24.39753893	214	9	5.40185546875
IPI00127993	IPI00127993	28.1918823	243	14	7.06396484375
IPI00128017	IPI00128017	63.92206141	569	31	7.25439453125
IPI00128018	IPI00128018	84.01918716	763	41	6.17626953125
IPI00128019	IPI00128019	48.43591944	452	15	6.52197265625
IPI00128022	IPI00128022	116.16852809	1069	52	4.80517578125
IPI00128023	IPI00128023	52.57364592	463	26	6.56591796875
IPI00128024	IPI00128024	19.63281724	177	8	5.52880859375
IPI00128025	IPI00128025	100.85325006	886	51	9.36376953125
IPI00128026	IPI00128026	17.78176131	162	7	4.84326171875
IPI00128027	IPI00128027	124.57100129	1130	55	4.29736328125
IPI00128028	IPI00128028	32.10709279	276	17	4.80517578125
IPI00128030	IPI00128030	81.22293669	738	41	5.70654296875
IPI00128031	IPI00128031	12.95357151	113	6	10.49169921875
IPI00128033	IPI00128033	8.63463717	77	2	12.14697265625
IPI00128034	IPI00128034	146.45261749	1327	72	7.57666015625
IPI00128040	IPI00128040	51.19655975	480	23	6.93212890625
IPI00128047	IPI00128047	23.25216482	209	10	10.05224609375
IPI00128062	IPI00128062	37.70123971	337	15	4.86865234375
IPI00128066	IPI00128066	21.00677868	199	10	9.58349609375
IPI00128069	IPI00128069	8.0122827	72	5	9.81787109375
IPI00128071	IPI00128071	106.89859082	959	49	4.56396484375
IPI00128074	IPI00128074	54.55145213	478	27	9.43701171875
IPI00128075	IPI00128075	13.56497995	125	6	8.61669921875
IPI00128076	IPI00128076	46.71856924	417	23	7.76708984375
IPI00128077	IPI00128077	70.42767087	618	33	9.61279296875
IPI00128078	IPI00128078	34.54316421	314	17	8.10400390625
IPI00128081	IPI00128081	163.555704	1455	73	6.04931640625
IPI00128095	IPI00128095	30.29561312	262	17	9.11474609375
IPI00128097	IPI00128097	120.28430332	1077	52	7.62060546875
IPI00128101	IPI00128101	103.36318923	907	56	6.56591796875
IPI00128103	IPI00128103	73.3807121	650	39	9.29052734375
IPI00128108	IPI00128108	26.23890687	246	12	5.38916015625
IPI00128110	IPI00128110	80.87027015	717	41	6.39208984375
IPI00128121	IPI00128121	62.41099601	561	23	5.27490234375
IPI00128124	IPI00128124	36.76634979	331	23	8.73388671875
IPI00128126	IPI00128126	62.93967055	566	35	9.87646484375
IPI00128127	IPI00128127	88.44761628	788	40	6.34130859375
IPI00128128	IPI00128128	50.4256958	448	19	4.56396484375
IPI00128134	IPI00128134	47.4560864	410	22	5.24951171875
IPI00128137	IPI00128137	60.87129946	530	28	8.10400390625
IPI00128138	IPI00128138	27.78509547	249	12	5.55419921875
IPI00128141	IPI00128141	85.61448814	780	32	7.31298828125
IPI00128143	IPI00128143	79.09396188	719	39	5.84619140625
IPI00128144	IPI00128144	78.67721242	697	34	5.70654296875
IPI00128145	IPI00128145	122.57543305	1096	57	5.30029296875
IPI00128146	IPI00128146	86.05237692	760	39	6.32861328125
IPI00128152	IPI00128152	140.88679376	1276	69	8.32373046875
IPI00128153	IPI00128153	20.03108684	181	7	4.56396484375
IPI00128154	IPI00128154	37.50498643	334	15	6.41748046875
IPI00128155	IPI00128155	47.69652254	441	25	6.32861328125
IPI00128156	IPI00128156	30.43035389	285	12	10.40380859375
IPI00128158	IPI00128158	21.57115635	190	8	8.10400390625
IPI00128160	IPI00128160	84.96556689	761	39	5.35107421875
IPI00128161	IPI00128161	79.3297595	703	45	7.97216796875
IPI00128163	IPI00128163	98.67082762	880	53	7.88427734375
IPI00128164	IPI00128164	79.96030822	701	49	9.77392578125
IPI00128178	IPI00128178	50.08117672	458	33	6.72705078125
IPI00128179	IPI00128179	53.92439091	492	28	6.52197265625
IPI00128180	IPI00128180	61.30245213	552	22	8.03076171875
IPI00128183	IPI00128183	23.158429	212	11	6.48095703125
IPI00128185	IPI00128185	42.76413458	400	25	10.05224609375
IPI00128186	IPI00128186	52.904707	467	27	8.33837890625
IPI00128188	IPI00128188	115.82590053	1039	52	4.31005859375
IPI00128193	IPI00128193	60.00595591	532	25	6.96142578125
IPI00128195	IPI00128195	50.64944393	467	27	5.61767578125
IPI00128196	IPI00128196	80.50382247	711	39	8.29443359375
IPI00128197	IPI00128197	56.88954651	502	25	7.22509765625
IPI00128201	IPI00128201	23.24219671	207	17	9.96435546875
IPI00128202	IPI00128202	39.78902026	352	20	6.23974609375
IPI00128203	IPI00128203	32.44748682	299	12	6.26513671875
IPI00128205	IPI00128205	56.46874971	495	22	7.45947265625
IPI00128206	IPI00128206	52.49245177	455	24	6.21435546875
IPI00128209	IPI00128209	21.50810653	194	12	5.42724609375
IPI00128214	IPI00128214	48.38432018	448	25	5.03369140625
IPI00128218	IPI00128218	110.47606694	1079	38	8.27978515625
IPI00128227	IPI00128227	33.26921183	298	14	8.20654296875
IPI00128229	IPI00128229	30.39408262	271	14	5.32568359375
IPI00128230	IPI00128230	74.9646454	668	47	10.16943359375
IPI00128234	IPI00128234	66.78979888	592	34	8.17724609375
IPI00128240	IPI00128240	16.30248035	145	9	5.17333984375
IPI00128242	IPI00128242	16.53451361	153	6	7.95751953125
IPI00128245	IPI00128245	30.23076718	271	15	4.90673828125
IPI00128249	IPI00128249	37.28367209	345	14	6.07470703125
IPI00128252	IPI00128252	36.57882541	322	18	9.18798828125
IPI00128254	IPI00128254	73.63992169	672	45	8.83642578125
IPI00128256	IPI00128256	52.05677546	475	26	7.63525390625
IPI00128257	IPI00128257	17.78088769	156	6	6.16357421875
IPI00128260	IPI00128260	51.79499895	457	22	8.17724609375
IPI00128261	IPI00128261	43.16268464	381	10	7.82568359375
IPI00128267	IPI00128267	15.97667527	135	8	11.10693359375
IPI00128268	IPI00128268	30.02229541	259	15	5.55419921875
IPI00128269	IPI00128269	29.02837973	271	9	5.60498046875
IPI00128270	IPI00128270	53.17983689	478	15	8.49951171875
IPI00128271	IPI00128271	54.47772783	479	28	9.04150390625
IPI00128273	IPI00128273	24.62285134	225	9	10.22802734375
IPI00128278	IPI00128278	527.14812031	4621	272	5.71923828125
IPI00128285	IPI00128285	50.47606346	469	24	9.36376953125
IPI00128286	IPI00128286	59.1744366	524	31	7.85498046875
IPI00128287	IPI00128287	58.1290792	513	31	8.93896484375
IPI00128288	IPI00128288	63.73308035	560	31	9.15869140625
IPI00128291	IPI00128291	38.33776219	347	15	6.27783203125
IPI00128292	IPI00128292	32.26365793	291	15	5.51611328125
IPI00128296	IPI00128296	46.95618642	418	23	7.98681640625
IPI00128302	IPI00128302	67.65995752	591	29	9.12939453125
IPI00128307	IPI00128307	13.35173106	118	5	5.09716796875
IPI00128308	IPI00128308	65.85160504	589	29	5.50341796875
IPI00128313	IPI00128313	33.12377721	285	17	4.85595703125
IPI00128314	IPI00128314	17.64107809	153	11	7.89892578125
IPI00128318	IPI00128318	32.85769421	289	18	4.77978515625
IPI00128319	IPI00128319	97.88653923	910	41	7.47412109375
IPI00128322	IPI00128322	32.37161958	292	16	6.11279296875
IPI00128323	IPI00128323	128.9401787	1145	55	5.80810546875
IPI00128325	IPI00128325	19.17925146	169	10	7.57666015625
IPI00128326	IPI00128326	33.71138762	303	17	6.18896484375
IPI00128328	IPI00128328	33.61254799	302	15	8.61669921875
IPI00128331	IPI00128331	85.58093546	749	33	4.64013671875
IPI00128333	IPI00128333	36.03797026	327	18	5.18603515625
IPI00128334	IPI00128334	70.77951401	642	34	4.48779296875
IPI00128335	IPI00128335	24.81128818	221	11	5.96044921875
IPI00128336	IPI00128336	49.38005555	429	28	6.06201171875
IPI00128338	IPI00128338	76.33101035	689	31	4.93212890625
IPI00128341	IPI00128341	55.15156386	501	20	5.93505859375
IPI00128342	IPI00128342	58.1156402	493	29	6.56591796875
IPI00128345	IPI00128345	12.99365817	116	7	8.61669921875
IPI00128346	IPI00128346	12.07114077	108	6	9.42236328125
IPI00128349	IPI00128349	98.27097208	878	49	8.23583984375
IPI00128355	IPI00128355	58.42412192	511	31	7.32763671875
IPI00128358	IPI00128358	155.52185312	1372	79	5.52880859375
IPI00128360	IPI00128360	92.05606305	821	41	6.11279296875
IPI00128362	IPI00128362	243.19625171	2169	101	6.59521484375
IPI00128363	IPI00128363	88.47299941	795	48	9.89111328125
IPI00128366	IPI00128366	111.98731891	1014	45	4.64013671875
IPI00128368	IPI00128368	74.05604539	658	36	6.87353515625
IPI00128371	IPI00128371	34.45894669	303	17	8.38232421875
IPI00128376	IPI00128376	37.14698681	323	19	6.81494140625
IPI00128377	IPI00128377	64.00336669	590	27	8.07470703125
IPI00128378	IPI00128378	61.48622859	561	26	6.06201171875
IPI00128382	IPI00128382	34.14014875	328	15	9.33447265625
IPI00128388	IPI00128388	25.92092456	236	14	5.13525390625
IPI00128389	IPI00128389	68.97984703	602	30	6.40478515625
IPI00128391	IPI00128391	41.55077441	382	17	7.67919921875
IPI00128399	IPI00128399	61.55519922	561	32	6.04931640625
IPI00128400	IPI00128400	50.84269793	443	26	6.71240234375
IPI00128405	IPI00128405	59.47117795	524	32	5.71923828125
IPI00128406	IPI00128406	35.1714619	308	13	7.67919921875
IPI00128408	IPI00128408	17.44093831	154	2	6.35400390625
IPI00128410	IPI00128410	33.63639474	314	18	7.76708984375
IPI00128415	IPI00128415	168.6422795	1521	77	6.72705078125
IPI00128416	IPI00128416	21.35999917	183	11	6.27783203125
IPI00128417	IPI00128417	77.41891921	700	33	4.97021484375
IPI00128424	IPI00128424	19.40065796	176	8	4.38623046875
IPI00128425	IPI00128425	46.83468507	446	14	4.28466796875
IPI00128430	IPI00128430	42.28564418	400	18	10.24267578125
IPI00128431	IPI00128431	7.73421282	68	5	11.35595703125
IPI00128432	IPI00128432	78.05059434	685	40	5.24951171875
IPI00128435	IPI00128435	39.08406082	341	20	4.94482421875
IPI00128436	IPI00128436	63.57469204	564	29	7.13720703125
IPI00128437	IPI00128437	14.4472471	128	9	6.49365234375
IPI00128438	IPI00128438	46.94958101	440	16	8.76318359375
IPI00128441	IPI00128441	70.82618105	632	35	8.11865234375
IPI00128446	IPI00128446	58.67861277	512	26	4.94482421875
IPI00128449	IPI00128449	35.62582063	313	11	7.94287109375
IPI00128450	IPI00128450	121.46042276	1092	54	5.52880859375
IPI00128452	IPI00128452	37.15828749	329	9	7.64990234375
IPI00128454	IPI00128454	98.99708017	923	39	4.47509765625
IPI00128457	IPI00128457	36.92128458	331	10	7.45947265625
IPI00128459	IPI00128459	45.72416947	413	24	6.59521484375
IPI00128461	IPI00128461	19.80663433	180	7	6.23974609375
IPI00128462	IPI00128462	94.06789657	840	43	5.54150390625
IPI00128463	IPI00128463	36.98711173	326	20	6.20166015625
IPI00128465	IPI00128465	16.04609715	144	10	8.42626953125
IPI00128466	IPI00128466	43.49882502	383	20	5.51611328125
IPI00128482	IPI00128482	28.55330473	244	15	11.10693359375
IPI00128484	IPI00128484	51.29018701	460	27	7.53271484375
IPI00128487	IPI00128487	92.426686	804	38	7.69384765625
IPI00128489	IPI00128489	55.61965183	490	31	7.28369140625
IPI00128490	IPI00128490	97.43282098	852	41	7.44482421875
IPI00128491	IPI00128491	19.70554278	180	12	6.37939453125
IPI00128492	IPI00128492	96.37193544	847	37	6.07470703125
IPI00128495	IPI00128495	29.21410318	263	16	10.24267578125
IPI00128498	IPI00128498	27.16808392	246	14	9.96435546875
IPI00128501	IPI00128501	7.37482686	71	3	6.81494140625
IPI00128513	IPI00128513	27.48589928	229	14	8.52880859375
IPI00128518	IPI00128518	43.46296108	396	18	5.40185546875
IPI00128519	IPI00128519	66.96718928	619	26	6.40478515625
IPI00128520	IPI00128520	60.04993395	551	16	5.98583984375
IPI00128521	IPI00128521	37.16573942	337	15	8.35302734375
IPI00128522	IPI00128522	22.98171116	209	14	6.13818359375
IPI00128526	IPI00128526	15.48135094	134	7	11.76611328125
IPI00128530	IPI00128530	56.53635889	533	17	8.10400390625
IPI00128534	IPI00128534	13.2365321	121	5	3.71337890625
IPI00128540	IPI00128540	93.95143979	859	41	5.32568359375
IPI00128543	IPI00128543	42.84177546	382	23	6.31591796875
IPI00128544	IPI00128544	31.15619711	279	18	10.37451171875
IPI00128546	IPI00128546	15.67152119	146	5	7.91357421875
IPI00128556	IPI00128556	31.49223348	299	16	6.29052734375
IPI00128559	IPI00128559	26.61014736	260	14	11.95654296875
IPI00128561	IPI00128561	13.88779718	123	6	5.12255859375
IPI00128563	IPI00128563	39.60828596	352	11	4.31005859375
IPI00128564	IPI00128564	40.66015066	376	17	4.39892578125
IPI00128566	IPI00128566	25.3190722	228	12	10.43310546875
IPI00128567	IPI00128567	68.10745311	614	30	5.89697265625
IPI00128568	IPI00128568	43.70938252	386	23	5.74462890625
IPI00128569	IPI00128569	31.3446337	266	19	8.11865234375
IPI00128570	IPI00128570	24.23119821	224	13	4.37353515625
IPI00128572	IPI00128572	62.72612657	579	31	7.94287109375
IPI00128577	IPI00128577	31.30991575	281	18	9.53955078125
IPI00128580	IPI00128580	66.22399285	594	26	6.74169921875
IPI00128588	IPI00128588	67.29368531	594	35	6.36669921875
IPI00128604	IPI00128604	34.90428134	316	16	7.70849609375
IPI00128605	IPI00128605	21.02278455	193	11	6.50732421875
IPI00128607	IPI00128607	2.30819989	21	2	7.13720703125
IPI00128608	IPI00128608	67.90873062	593	35	7.91357421875
IPI00128610	IPI00128610	30.88969356	276	12	7.21044921875
IPI00128615	IPI00128615	65.35194353	594	33	10.22802734375
IPI00128616	IPI00128616	44.1851775	399	24	10.27197265625
IPI00128621	IPI00128621	18.4554818	166	10	10.50634765625
IPI00128628	IPI00128628	38.82786384	352	16	9.55419921875
IPI00128632	IPI00128632	88.91925956	814	37	6.16357421875
IPI00128641	IPI00128641	51.69999419	468	23	7.57666015625
IPI00128642	IPI00128642	25.92360498	244	15	9.40771484375
IPI00128646	IPI00128646	22.1726388	196	12	7.28369140625
IPI00128647	IPI00128647	153.23106066	1405	53	4.67822265625
IPI00128648	IPI00128648	76.95159486	705	27	5.78271484375
IPI00128650	IPI00128650	82.48999479	733	40	6.48095703125
IPI00128652	IPI00128652	49.04766636	453	24	6.07470703125
IPI00128654	IPI00128654	67.72335781	605	32	5.41455078125
IPI00128668	IPI00128668	54.39422333	500	30	7.47412109375
IPI00128671	IPI00128671	47.23525351	422	22	5.79541015625
IPI00128673	IPI00128673	86.54950893	777	48	6.96142578125
IPI00128677	IPI00128677	33.8627792	294	15	8.61669921875
IPI00128682	IPI00128682	36.41085881	328	20	4.62744140625
IPI00128689	IPI00128689	183.54594532	1838	95	4.58935546875
IPI00128690	IPI00128690	46.39414989	426	26	8.10400390625
IPI00128691	IPI00128691	26.30145581	227	12	8.76318359375
IPI00128692	IPI00128692	40.64194102	362	23	7.63525390625
IPI00128693	IPI00128693	27.14797385	235	12	5.88427734375
IPI00128696	IPI00128696	15.09149374	128	6	9.11474609375
IPI00128699	IPI00128699	24.58002788	240	16	11.69287109375
IPI00128702	IPI00128702	28.94257581	264	18	7.88427734375
IPI00128703	IPI00128703	60.75417455	557	29	5.84619140625
IPI00128704	IPI00128704	39.19841238	342	19	9.56884765625
IPI00128709	IPI00128709	29.33205187	271	12	6.56591796875
IPI00128718	IPI00128718	136.58785958	1203	67	5.08447265625
IPI00128734	IPI00128734	54.63680731	493	30	9.39306640625
IPI00128735	IPI00128735	54.14614875	466	27	7.69384765625
IPI00128736	IPI00128736	43.243642	376	17	10.19873046875
IPI00128737	IPI00128737	61.87514723	551	23	6.41748046875
IPI00128738	IPI00128738	57.0598375	513	33	7.66455078125
IPI00128739	IPI00128739	50.9723639	455	27	6.69775390625
IPI00128741	IPI00128741	19.76590714	172	9	4.61474609375
IPI00128750	IPI00128750	47.18520607	453	23	9.26123046875
IPI00128760	IPI00128760	17.83222937	154	7	8.54345703125
IPI00128776	IPI00128776	135.8819405	1219	65	6.06201171875
IPI00128777	IPI00128777	15.48747503	145	8	6.78564453125
IPI00128778	IPI00128778	43.19392731	386	18	5.30029296875
IPI00128789	IPI00128789	178.76541218	1620	78	6.31591796875
IPI00128791	IPI00128791	17.49206957	162	8	5.59228515625
IPI00128815	IPI00128815	37.91277307	362	12	5.82080078125
IPI00128817	IPI00128817	14.03806276	125	6	8.98291015625
IPI00128818	IPI00128818	90.93119601	795	45	7.09326171875
IPI00128823	IPI00128823	125.40332127	1111	62	5.41455078125
IPI00128826	IPI00128826	43.40810332	423	18	9.59814453125
IPI00128828	IPI00128828	28.10870666	260	13	8.26513671875
IPI00128831	IPI00128831	30.85530929	275	13	7.02001953125
IPI00128833	IPI00128833	59.80147503	562	23	10.28662109375
IPI00128835	IPI00128835	44.67181972	428	19	8.19189453125
IPI00128843	IPI00128843	51.71101277	466	23	8.95361328125
IPI00128856	IPI00128856	130.32170427	1152	62	6.06201171875
IPI00128857	IPI00128857	63.94009858	572	32	7.13720703125
IPI00128859	IPI00128859	103.09099457	906	46	6.16357421875
IPI00128860	IPI00128860	44.49583848	397	25	7.72314453125
IPI00128861	IPI00128861	25.86115743	235	16	4.72900390625
IPI00128862	IPI00128862	17.71496161	156	10	10.12548828125
IPI00128863	IPI00128863	6.55698432	57	6	8.32373046875
IPI00128864	IPI00128864	17.69279836	155	6	8.64599609375
IPI00128866	IPI00128866	17.42607817	155	9	10.18408203125
IPI00128867	IPI00128867	33.86276003	324	15	5.04638671875
IPI00128870	IPI00128870	65.09546403	574	25	6.56591796875
IPI00128873	IPI00128873	35.66400873	323	23	7.67919921875
IPI00128875	IPI00128875	23.72016652	208	14	4.83056640625
IPI00128880	IPI00128880	119.18028059	1082	56	4.65283203125
IPI00128903	IPI00128903	33.32300906	300	15	8.64599609375
IPI00128904	IPI00128904	37.45593454	356	19	6.71240234375
IPI00128905	IPI00128905	44.26539046	393	25	4.91943359375
IPI00128908	IPI00128908	38.32769158	359	17	6.40478515625
IPI00128912	IPI00128912	16.33995655	151	6	11.83935546875
IPI00128915	IPI00128915	252.2322724	2327	103	5.03369140625
IPI00128918	IPI00128918	93.14880788	807	40	9.55419921875
IPI00128920	IPI00128920	26.8047702	243	11	6.21435546875
IPI00128924	IPI00128924	33.1379771	290	12	8.60205078125
IPI00128941	IPI00128941	32.09560824	293	12	9.55419921875
IPI00128945	IPI00128945	22.87372245	201	11	6.62451171875
IPI00128947	IPI00128947	142.18028458	1281	67	7.40087890625
IPI00128953	IPI00128953	61.16811058	529	29	6.72705078125
IPI00128954	IPI00128954	42.78562757	361	19	5.78271484375
IPI00128958	IPI00128958	43.62119941	369	22	7.81103515625
IPI00128969	IPI00128969	19.30389293	168	10	9.45166015625
IPI00128971	IPI00128971	33.6678251	310	13	5.60498046875
IPI00128973	IPI00128973	23.60030022	227	13	4.34814453125
IPI00128975	IPI00128975	11.12963991	102	8	9.90576171875
IPI00128976	IPI00128976	38.63487676	336	20	10.22802734375
IPI00128977	IPI00128977	11.71044526	110	7	6.68310546875
IPI00128982	IPI00128982	16.5786858	152	6	6.84423828125
IPI00128984	IPI00128984	52.04329999	459	22	7.54736328125
IPI00128986	IPI00128986	22.43814771	199	14	7.06396484375
IPI00128988	IPI00128988	20.94637709	198	9	9.11474609375
IPI00128989	IPI00128989	50.95711224	463	20	5.50341796875
IPI00128991	IPI00128991	46.08386092	399	29	8.44091796875
IPI00128996	IPI00128996	40.22172123	354	14	7.37158203125
IPI00129007	IPI00129007	51.28880815	474	31	9.37841796875
IPI00129009	IPI00129009	38.98650711	341	19	7.69384765625
IPI00129010	IPI00129010	21.26328942	202	7	4.55126953125
IPI00129011	IPI00129011	58.88352743	541	29	5.69384765625
IPI00129013	IPI00129013	57.79183001	521	24	5.74462890625
IPI00129014	IPI00129014	43.68966562	386	25	6.77099609375
IPI00129015	IPI00129015	45.66899632	420	25	4.66552734375
IPI00129016	IPI00129016	102.92103697	956	54	9.27587890625
IPI00129017	IPI00129017	35.34853934	326	20	10.09619140625
IPI00129020	IPI00129020	80.70593084	744	39	7.51806640625
IPI00129023	IPI00129023	103.55290178	970	49	7.29833984375
IPI00129025	IPI00129025	58.98706696	552	32	7.82568359375
IPI00129026	IPI00129026	31.27365018	275	16	4.57666015625
IPI00129027	IPI00129027	64.93361169	592	29	8.03076171875
IPI00129028	IPI00129028	49.98655818	450	25	4.71630859375
IPI00129032	IPI00129032	25.22801113	213	12	10.37451171875
IPI00129041	IPI00129041	62.72077752	557	23	6.37939453125
IPI00129045	IPI00129045	27.99545007	261	11	5.90966796875
IPI00129046	IPI00129046	21.75977512	202	12	7.91357421875
IPI00129049	IPI00129049	20.76915576	203	8	4.28466796875
IPI00129056	IPI00129056	34.05799321	296	19	8.17724609375
IPI00129064	IPI00129064	9.17391504	81	3	8.48486328125
IPI00129066	IPI00129066	52.09454532	479	23	4.69091796875
IPI00129068	IPI00129068	22.55931992	204	11	6.15087890625
IPI00129069	IPI00129069	41.19157796	371	21	9.17333984375
IPI00129070	IPI00129070	104.95887411	931	40	7.26904296875
IPI00129071	IPI00129071	29.26516379	257	12	4.69091796875
IPI00129075	IPI00129075	56.37739513	505	29	7.09326171875
IPI00129078	IPI00129078	22.26945691	191	9	9.65673828125
IPI00129079	IPI00129079	164.70008192	1498	69	7.94287109375
IPI00129080	IPI00129080	21.731827	191	14	4.25927734375
IPI00129085	IPI00129085	42.01416019	389	16	5.32568359375
IPI00129096	IPI00129096	30.07691842	261	13	8.07470703125
IPI00129099	IPI00129099	37.97214204	347	12	4.76708984375
IPI00129100	IPI00129100	40.29852222	359	21	8.08935546875
IPI00129102	IPI00129102	48.21837804	433	26	7.91357421875
IPI00129105	IPI00129105	38.57759701	350	24	4.98291015625
IPI00129107	IPI00129107	36.08868135	333	16	5.51611328125
IPI00129112	IPI00129112	62.30737025	565	28	6.81494140625
IPI00129116	IPI00129116	27.05866407	251	9	6.94677734375
IPI00129119	IPI00129119	65.9690131	638	25	5.79541015625
IPI00129120	IPI00129120	10.00481329	90	6	4.04345703125
IPI00129123	IPI00129123	67.93995616	606	34	7.75244140625
IPI00129126	IPI00129126	23.25101098	219	9	7.53271484375
IPI00129132	IPI00129132	194.61734146	1723	90	7.28369140625
IPI00129134	IPI00129134	14.16498049	131	6	5.61767578125
IPI00129135	IPI00129135	9.07451278	80	4	4.39892578125
IPI00129140	IPI00129140	62.69482823	564	34	8.70458984375
IPI00129141	IPI00129141	68.98726186	622	30	10.31591796875
IPI00129142	IPI00129142	140.61518524	1264	64	7.88427734375
IPI00129145	IPI00129145	44.0951695	385	19	5.79541015625
IPI00129146	IPI00129146	51.9889504	488	18	8.57275390625
IPI00129149	IPI00129149	16.06518302	137	5	9.17333984375
IPI00129152	IPI00129152	25.91415635	233	14	6.15087890625
IPI00129154	IPI00129154	47.93107088	424	19	9.53955078125
IPI00129158	IPI00129158	56.37165693	513	30	7.95751953125
IPI00129159	IPI00129159	163.04020137	1493	76	6.02392578125
IPI00129160	IPI00129160	21.56283834	196	12	7.81103515625
IPI00129161	IPI00129161	24.68242807	216	12	5.93505859375
IPI00129163	IPI00129163	49.55997484	421	28	8.06005859375
IPI00129164	IPI00129164	27.89238064	262	14	5.82080078125
IPI00129166	IPI00129166	16.23085797	143	4	4.52587890625
IPI00129168	IPI00129168	40.81069819	359	19	9.78857421875
IPI00129174	IPI00129174	67.90165583	602	37	7.73779296875
IPI00129175	IPI00129175	91.47037166	829	45	7.38623046875
IPI00129176	IPI00129176	58.40516531	517	32	7.70849609375
IPI00129177	IPI00129177	42.39260055	378	21	5.96044921875
IPI00129178	IPI00129178	48.30589669	439	24	6.20166015625
IPI00129180	IPI00129180	37.95423345	337	18	7.00537109375
IPI00129184	IPI00129184	71.01485811	637	36	7.72314453125
IPI00129186	IPI00129186	16.41349344	149	8	7.47412109375
IPI00129187	IPI00129187	106.04555378	971	50	6.31591796875
IPI00129191	IPI00129191	160.35315117	1429	82	6.75634765625
IPI00129193	IPI00129193	203.86229796	1755	128	5.18603515625
IPI00129194	IPI00129194	33.21733422	303	21	9.05615234375
IPI00129197	IPI00129197	65.43076785	576	35	5.74462890625
IPI00129198	IPI00129198	109.7135313	986	55	6.08740234375
IPI00129199	IPI00129199	47.7616274	427	29	9.24658203125
IPI00129201	IPI00129201	64.34021436	579	33	7.86962890625
IPI00129205	IPI00129205	161.00428156	1436	72	8.61669921875
IPI00129207	IPI00129207	42.59010516	387	14	8.19189453125
IPI00129213	IPI00129213	11.98952419	110	6	5.40185546875
IPI00129215	IPI00129215	57.00629415	512	24	5.51611328125
IPI00129219	IPI00129219	83.26446741	753	37	6.36669921875
IPI00129220	IPI00129220	108.73517831	977	53	5.73193359375
